vlen,schedule,npl,ntg,insns_total,v_arith,vsetvl,v_load,v_store
256,norepack,1,1,5333197105,1283722475,493486190,484036667,1751236
256,norepack,1,9,6256838148,1519713927,597130978,579093647,2123216
256,norepack,2,1,8420416872,2150720641,827939194,811587202,2956053
256,norepack,2,9,10277503583,2622702372,1035225901,1001696869,3695176
256,norepack,4,1,14585353819,3884715473,1496843702,1466686772,5364187
256,norepack,4,9,18260293656,4828675945,1911412430,1846899996,6835779
256,norepack,8,1,26915034943,7352713987,2834661568,2776894762,10189305
256,norepack,8,9,34225699022,9240634961,3663797358,3537318120,13128855
256,q4_0_8x1,1,1,4774631409,1026013140,39643954,111757053,6687590
256,q4_0_8x1,1,9,5491125594,1354731830,82042564,184511223,7136472
256,q4_0_8x1,2,1,6782199921,1726086252,68555074,187058510,8060065
256,q4_0_8x1,2,9,8211576843,2383522425,153349391,332562523,8952958
256,q4_0_8x1,4,1,10692430842,3066397392,100355680,305541932,10784851
256,q4_0_8x1,4,9,12998432589,3914562285,151451573,387628121,12418304
256,q4_0_8x1,8,1,18615680437,5806862275,189985835,574636211,16262530
256,q4_0_8x1,8,9,23223385377,7503188853,292171061,738805589,19525892
256,q4_0_16x1,1,1,3584824594,534939108,31727986,68045565,6227318
256,q4_0_16x1,1,9,4043305129,724483814,69274372,113303799,6599304
256,q4_0_16x1,2,1,4787331745,901681932,55289218,113030990,7289665
256,q4_0_16x1,2,9,5700679707,1280770137,130379087,203543131,8028766
256,q4_0_16x1,4,1,7118174286,1605192336,78256288,181457708,9394195
256,q4_0_16x1,4,9,8631879910,2129568045,124499957,236047961,10720064
256,q4_0_16x1,8,1,11851912438,3042195907,148353131,339863219,13631362
256,q4_0_16x1,8,9,14875023116,4090944117,240833909,449040725,16279556
256,q4_0_8x8,1,1,2332099778,458912010,212025838,51587517,23495702
256,q4_0_8x8,1,9,2728238352,590305268,299708560,82289079,30414216
256,q4_0_8x8,2,1,3064955347,772485264,357524410,80665742,32036977
256,q4_0_8x8,2,9,3853622998,1035270573,532886951,142064539,45869134
256,q4_0_8x8,4,1,4428096599,1393460508,613852540,122895260,46615663
256,q4_0_8x8,4,9,5469480322,1870908921,778638737,163073993,54755036
256,q4_0_8x8,8,1,7254820362,2641589989,1161185543,223289171,78284842
256,q4_0_8x8,8,9,9333248502,3596485263,1490754689,303643637,94560044
