vlen,l1d,l2,schedule,run,n_gen,dmem_accesses,l1d_misses,l2_misses
256,32768,524288,norepack,A,1,2890292097,12427675,9946373
256,32768,524288,norepack,B,9,4739291706,24673582,21800463
256,32768,524288,q4_0_8x1,A,1,1623508212,18418959,13176499
256,32768,524288,q4_0_8x1,B,9,2485210550,30504534,25032518
256,32768,524288,q4_0_16x1,A,1,1487412440,18419930,13177958
256,32768,524288,q4_0_16x1,B,9,2295741647,30509376,25032113
256,32768,524288,q4_0_8x8,A,1,1360300686,18420294,13175605
256,32768,524288,q4_0_8x8,B,9,2183215361,30506841,25032093
256,131072,2097152,norepack,A,1,2890292046,11117328,7817647
256,131072,2097152,norepack,B,9,4739291546,23091288,19461559
256,131072,2097152,q4_0_8x1,A,1,1623508308,17295136,10584379
256,131072,2097152,q4_0_8x1,B,9,2485210629,29287721,22226235
256,131072,2097152,q4_0_16x1,A,1,1487412509,17295191,10583025
256,131072,2097152,q4_0_16x1,B,9,2295741709,29288973,22224676
256,131072,2097152,q4_0_8x8,A,1,1360300635,17291539,10584304
256,131072,2097152,q4_0_8x8,B,9,2183215207,29287307,22229329
