model,quant,vlen,batch,stage,schedule,insns_total_per_tok,v_arith_per_tok,vsetvl_per_tok,v_load_per_tok,v_store_per_tok
SmolLM2-135M,Q4_0,128,1,decode,norepack,116412463.375,29606209.75,12983130.0,11920755.75,64529.75
SmolLM2-135M,Q4_0,128,1,prefill,norepack,93457151.5625,26275552.875,10056140.0,9960950.875,65984.875
SmolLM2-135M,Q4_0,128,1,decode,q4_0_8x1,109245962.5,46729786.75,9032189.0,10957672.75,77214.75
SmolLM2-135M,Q4_0,128,1,prefill,q4_0_8x1,60620592.40625,20601484.9375,722924.0,2165930.9375,70916.9375
SmolLM2-135M,Q4_0,128,1,decode,q4_0_8x8,74584252.625,22468459.75,15501407.0,6529024.75,1714053.75
SmolLM2-135M,Q4_0,128,1,prefill,q4_0_8x8,26088843.4375,9313930.9375,4775831.0,1785782.9375,470705.9375
SmolLM2-135M,Q4_0,256,1,decode,norepack,115788585.5,29447596.5,12919651.5,11830785.5,41330.5
SmolLM2-135M,Q4_0,256,1,prefill,norepack,92688518.6875,26104688.15625,9981131.15625,9839745.15625,40038.15625
SmolLM2-135M,Q4_0,256,1,decode,q4_0_16x1,57656738.5,23641751.375,4657349.375,5605940.375,41329.375
SmolLM2-135M,Q4_0,256,1,prefill,q4_0_16x1,35727350.625,10571634.53125,500169.53125,1207507.53125,35584.53125
SmolLM2-135M,Q4_0,256,1,decode,q4_0_8x1,89906669.125,41038499.375,5263877.375,9042932.375,50941.375
SmolLM2-135M,Q4_0,256,1,prefill,q4_0_8x1,59851878.375,20430618.53125,647913.53125,2044723.53125,44968.53125
SmolLM2-135M,Q4_0,256,1,decode,q4_0_8x8,49872573.25,16372820.375,10924391.375,3786356.375,859645.375
SmolLM2-135M,Q4_0,256,1,prefill,q4_0_8x8,21300609.59375,9143064.53125,4109844.53125,768727.53125,243073.53125
SmolLM2-135M,Q4_0,512,1,decode,norepack,115499419.625,29371185.5,12887916.5,11791328.5,32761.5
SmolLM2-135M,Q4_0,512,1,prefill,norepack,92340646.65625,26023789.0625,9943612.0625,9787928.0625,31733.0625
SmolLM2-135M,Q4_0,512,1,decode,q4_0_16x1,47982776.75,20799004.75,2773198.75,4654100.75,31225.75
SmolLM2-135M,Q4_0,512,1,prefill,q4_0_16x1,35379467.21875,10490736.0625,462651.0625,1155691.0625,27280.0625
SmolLM2-135M,Q4_0,512,1,decode,q4_0_32x1,31856048.875,12100423.75,2469727.75,2935604.75,26419.75
SmolLM2-135M,Q4_0,512,1,prefill,q4_0_32x1,21817434.59375,5561244.0625,388779.0625,737083.0625,22588.0625
SmolLM2-135M,Q4_0,512,1,decode,q4_0_8x1,80232631.125,38195752.75,3379726.75,8091092.75,40837.75
SmolLM2-135M,Q4_0,512,1,prefill,q4_0_8x1,59503937.625,20349720.0625,610395.0625,1992907.0625,36664.0625
SmolLM2-135M,Q4_0,1024,1,decode,norepack,115355368.5,29332980.125,12872049.125,11771600.125,28477.125
SmolLM2-135M,Q4_0,1024,1,prefill,norepack,92166759.78125,25983340.09375,9924853.09375,9762020.09375,27581.09375
SmolLM2-135M,Q4_0,1024,1,decode,q4_0_16x1,43173649.875,19377631.875,1831123.875,4178180.875,26173.875
SmolLM2-135M,Q4_0,1024,1,prefill,q4_0_16x1,35205637.34375,10450286.6875,443891.6875,1129782.6875,23127.6875
SmolLM2-135M,Q4_0,1024,1,decode,q4_0_32x1,27046815.125,10679050.875,1527652.875,2459684.875,21367.875
SmolLM2-135M,Q4_0,1024,1,prefill,q4_0_32x1,21643575.8125,5520794.6875,370019.6875,711174.6875,18435.6875
SmolLM2-135M,Q4_0,1024,1,decode,q4_0_64x1,18990591.0,6329863.875,1376020.875,1600436.875,18964.875
SmolLM2-135M,Q4_0,1024,1,prefill,q4_0_64x1,16362271.0625,3056048.6875,333083.6875,501870.6875,16089.6875
SmolLM2-135M,Q4_0,1024,1,decode,q4_0_8x1,75423625.875,36774379.875,2437651.875,7615172.875,35785.875
SmolLM2-135M,Q4_0,1024,1,prefill,q4_0_8x1,59330057.59375,20309270.6875,591635.6875,1966998.6875,32511.6875
Qwen2.5-0.5B,Q4_0,256,1,decode,norepack,398158495.125,102215999.5,46919531.5,42210276.5,70164.5
Qwen2.5-0.5B,Q4_0,256,1,prefill,norepack,295933290.03125,86050989.96875,32783429.96875,32503518.96875,62406.96875
Qwen2.5-0.5B,Q4_0,256,1,decode,q4_0_16x1,216076684.125,87337018.5,21189707.5,21574163.5,70163.5
Qwen2.5-0.5B,Q4_0,256,1,prefill,q4_0_16x1,105193654.96875,35207069.625,1844301.625,4136728.625,55392.625
Qwen2.5-0.5B,Q4_0,256,1,decode,q4_0_8x1,323344350.25,145263442.5,23209739.5,33021011.5,89003.5
Qwen2.5-0.5B,Q4_0,256,1,prefill,q4_0_8x1,184469929.4375,67615645.625,2330157.625,6889912.625,73568.625
