vlen,schedule,run,n_prompt,n_gen,insns_total,v_arith,vsetvl,v_load,v_store
256,norepack,A,14,1,5298308888,1081146241,414182247,408664932,843042
256,norepack,B,14,9,7730147312,1746390008,689610702,669699819,1406505
256,norepack,C,46,1,13790373924,3541409059,1351531785,1337961734,3119044
256,q4_0_8x1,A,14,1,6625611581,938649785,40896962,129127519,13446981
256,q4_0_8x1,B,14,9,8515118105,1849468929,127616602,324076391,14146765
256,q4_0_8x1,C,46,1,11981568815,2869536037,104191534,323508459,16004561
256,q4_0_16x1,A,14,1,5588918015,488800165,31546562,79514719,13213361
256,q4_0_16x1,B,14,9,6719844204,989985389,103981402,193516391,13776825
256,q4_0_16x1,C,46,1,8670384091,1489873297,80901934,194906859,15237821
256,q4_0_8x8,A,14,1,3491198963,395262362,197289896,72389839,44190561
256,q4_0_8x8,B,14,9,4437769624,725164546,417330816,143537111,63936745
256,q4_0_8x8,C,46,1,5438882848,1259709230,586653380,146215899,65396621
