vlen,schedule,dec_tokens,pp_tokens,dec_insns_total,pp_insns_total,dec_v_arith,pp_v_arith,dec_vsetvl,pp_vsetvl,dec_v_load,pp_v_load,dec_v_store,pp_v_store
128,norepack,8,32,116412463.375,93457151.5625,29606209.75,26275552.875,12983130.0,10056140.0,11920755.75,9960950.875,64529.75,65984.875
128,q4_0_8x1,8,32,109245962.5,60620592.40625,46729786.75,20601484.9375,9032189.0,722924.0,10957672.75,2165930.9375,77214.75,70916.9375
128,q4_0_8x8,8,32,74584252.625,26088843.4375,22468459.75,9313930.9375,15501407.0,4775831.0,6529024.75,1785782.9375,1714053.75,470705.9375
256,norepack,8,32,115788585.5,92688518.6875,29447596.5,26104688.15625,12919651.5,9981131.15625,11830785.5,9839745.15625,41330.5,40038.15625
256,q4_0_16x1,8,32,57656738.5,35727350.625,23641751.375,10571634.53125,4657349.375,500169.53125,5605940.375,1207507.53125,41329.375,35584.53125
256,q4_0_8x1,8,32,89906669.125,59851878.375,41038499.375,20430618.53125,5263877.375,647913.53125,9042932.375,2044723.53125,50941.375,44968.53125
256,q4_0_8x8,8,32,49872573.25,21300609.59375,16372820.375,9143064.53125,10924391.375,4109844.53125,3786356.375,768727.53125,859645.375,243073.53125
512,norepack,8,32,115499419.625,92340646.65625,29371185.5,26023789.0625,12887916.5,9943612.0625,11791328.5,9787928.0625,32761.5,31733.0625
512,q4_0_16x1,8,32,47982776.75,35379467.21875,20799004.75,10490736.0625,2773198.75,462651.0625,4654100.75,1155691.0625,31225.75,27280.0625
512,q4_0_32x1,8,32,31856048.875,21817434.59375,12100423.75,5561244.0625,2469727.75,388779.0625,2935604.75,737083.0625,26419.75,22588.0625
512,q4_0_8x1,8,32,80232631.125,59503937.625,38195752.75,20349720.0625,3379726.75,610395.0625,8091092.75,1992907.0625,40837.75,36664.0625
1024,norepack,8,32,115355368.5,92166759.78125,29332980.125,25983340.09375,12872049.125,9924853.09375,11771600.125,9762020.09375,28477.125,27581.09375
1024,q4_0_16x1,8,32,43173649.875,35205637.34375,19377631.875,10450286.6875,1831123.875,443891.6875,4178180.875,1129782.6875,26173.875,23127.6875
1024,q4_0_32x1,8,32,27046815.125,21643575.8125,10679050.875,5520794.6875,1527652.875,370019.6875,2459684.875,711174.6875,21367.875,18435.6875
1024,q4_0_64x1,8,32,18990591.0,16362271.0625,6329863.875,3056048.6875,1376020.875,333083.6875,1600436.875,501870.6875,18964.875,16089.6875
1024,q4_0_8x1,8,32,75423625.875,59330057.59375,36774379.875,20309270.6875,2437651.875,591635.6875,7615172.875,1966998.6875,35785.875,32511.6875
