vlen,schedule,run,n_prompt,n_gen,insns_total,v_arith,vsetvl,v_load,v_store
128,norepack,A,?,1,0,0,0,0,0
128,norepack,B,?,9,0,0,0,0,0
128,norepack,C,?,1,0,0,0,0,0
128,q4_0_8x1,A,14,1,3471496197,327501445,20066770,47724746,6092480
128,q4_0_8x1,B,14,9,4345463897,701339739,92324282,135386128,6710198
128,q4_0_8x1,C,46,1,5411355154,986748963,43200338,117034536,8361822
128,q4_0_8x8,A,14,1,2438142536,144150022,81878152,40888898,20591531
128,q4_0_8x8,B,14,9,3034816557,323897700,205889408,93121096,34303961
128,q4_0_8x8,C,46,1,3272985526,442195812,234704744,98033952,35654121
256,norepack,A,?,1,0,0,0,0,0
256,norepack,B,?,9,0,0,0,0,0
256,norepack,C,?,1,0,0,0,0,0
256,q4_0_8x1,A,14,1,3442470901,320009049,15030383,44502977,5244213
256,q4_0_8x1,B,14,9,4161724254,648317044,57141402,116846436,5651744
256,q4_0_8x1,C,46,1,5357731009,973788842,35763616,109934130,6683206
256,q4_0_16x1,A,14,1,3090631809,167353797,11857775,27670529,5112609
256,q4_0_16x1,B,14,9,3551885717,356487808,49116570,72518052,5443244
256,q4_0_16x1,C,46,1,4233907029,505646102,27863200,66310770,6251314
256,q4_0_8x8,A,14,1,2350272824,135859290,68153381,25282289,15687777
256,q4_0_8x8,B,14,9,2749253410,266841853,155548512,55573140,22564940
256,q4_0_8x8,C,46,1,3031892331,428437355,199668406,49881570,23466130
512,norepack,A,?,1,0,0,0,0,0
512,norepack,B,?,9,0,0,0,0,0
512,norepack,C,?,1,0,0,0,0,0
512,q4_0_8x1,A,14,1,3541086587,316281909,12742817,43157039,5070851
512,q4_0_8x1,B,14,9,4182947636,621847931,39780631,107885781,5397553
512,q4_0_8x1,C,46,1,5445212591,967472951,32275459,106930065,6244101
512,q4_0_16x1,A,14,1,3187830874,163626657,9368033,26122415,4737071
512,q4_0_16x1,B,14,9,3571693088,330018695,31553623,63355221,4986877
512,q4_0_16x1,C,46,1,4319973825,499330211,24172867,63104529,5610033
512,q4_0_32x1,A,14,1,2988213824,87298830,7882409,17807279,4772357
512,q4_0_32x1,B,14,9,3243062215,184102220,27640231,41292117,4983715
512,q4_0_32x1,C,46,1,3686371731,265258640,20323339,41393937,5495175
1024,norepack,A,?,1,0,0,0,0,0
1024,norepack,B,?,9,0,0,0,0,0
1024,norepack,C,?,1,0,0,0,0,0
1024,q4_0_8x1,A,14,1,3562564173,314418324,11571372,42456408,4956508
1024,q4_0_8x1,B,14,9,4165953180,608613363,31072587,103377791,5242795
1024,q4_0_8x1,C,46,1,5461126016,964314986,30503714,105400366,5996882
1024,q4_0_16x1,A,14,1,3209307579,161763072,8196588,25421784,4622728
1024,q4_0_16x1,B,14,9,3554696778,316784127,22845579,58847231,4832119
1024,q4_0_16x1,C,46,1,4335887974,496172246,22401122,61574830,5362814
1024,q4_0_32x1,A,14,1,3008983529,85435245,6609876,17005560,4556926
1024,q4_0_32x1,B,14,9,3225358050,170867652,18831099,36683039,4727869
1024,q4_0_32x1,C,46,1,3701577955,262100675,18450506,39763150,5146868
1024,q4_0_64x1,A,14,1,3135960223,47271432,5766180,12746904,4473481
1024,q4_0_64x1,B,14,9,3287884951,97910343,16774347,25550399,4625200
1024,q4_0_64x1,C,46,1,3659552897,145064990,16424858,28806766,4988351
