vlen,schedule,run,n_prompt,n_gen,insns_total,v_arith,vsetvl,v_load,v_store
256,norepack,A,13,1,7936139844,1133882948,439658544,431307318,722132
256,norepack,B,13,9,11121407805,1951610944,815014796,768989530,1283448
256,norepack,C,45,1,17406005125,3887514627,1488728303,1471419925,2719155
256,q4_0_8x1,A,13,1,10522909161,955706567,54266883,131926826,18046960
256,q4_0_8x1,B,13,9,13109663963,2117814107,239944799,396094918,18758988
256,q4_0_8x1,C,45,1,16425946903,3119407227,128831927,352404030,20401156
256,q4_0_16x1,A,13,1,9468290305,508877231,45743235,87441770,17810008
256,q4_0_16x1,B,13,9,11196903778,1207573379,215260895,260035078,18371316
256,q4_0_16x1,C,45,1,12834487264,1635503459,104760887,219817086,19582572
256,q4_0_8x8,A,13,1,7155571936,427357646,210780825,85522058,50082088
256,q4_0_8x8,B,13,9,8675548673,932280122,547285157,209634598,72341124
256,q4_0_8x8,C,45,1,9333703445,1401189970,648850605,171479710,73222268
