vlen,schedule,run,n_prompt,n_gen,insns_total,v_arith,vsetvl,v_load,v_store
256,norepack,A,13,1,8217725861,550868779,548330567,363154508,1095914
256,norepack,B,13,9,11284338796,1005918045,1001697527,663646806,1934516
256,norepack,C,45,1,17011232994,1873211723,1863108423,1238121324,4425738
256,q8_0_8x1,A,13,1,16648107723,2258506983,503820080,269061569,24554639
256,q8_0_8x1,B,13,9,23019442896,4125550301,1753828208,885922559,25641229
256,q8_0_8x1,C,45,1,27305827733,7663886059,1415730704,725575909,28276659
256,q8_0_16x1,A,13,1,14368034554,1131746511,254314544,146153409,23106935
256,q8_0_16x1,B,?,9,
256,q8_0_16x1,C,?,1,
256,q8_0_16x1,A,13,1,14368022353,1131746511,254314544,146153409,23106935
256,q8_0_16x1,B,13,9,17589849352,2067316229,880401520,455709951,23945525
256,q8_0_16x1,C,45,1,19999105529,3842922195,715058960,380451557,26155163
