type,vlen,N,K,M,schedule,reps,insns_total
q4_0,1024,576,576,1,norepack,2,31157613
q4_0,1024,576,576,1,norepack,10,33527427
q4_0,1024,576,576,32,norepack,2,49889563
q4_0,1024,576,576,32,norepack,10,124166428
q4_0,1024,576,576,1,q4_0_8x1,2,33191983
q4_0,1024,576,576,1,q4_0_8x1,10,34872156
q4_0,1024,576,576,32,q4_0_8x1,2,45298437
q4_0,1024,576,576,32,q4_0_8x1,10,92371770
q4_0,1024,576,576,1,q4_0_16x1,2,32984150
q4_0,1024,576,576,1,q4_0_16x1,10,33836870
q4_0,1024,576,576,32,q4_0_16x1,2,40217111
q4_0,1024,576,576,32,q4_0_16x1,10,66969192
q4_0,1024,576,576,1,q4_0_32x1,2,32860559
q4_0,1024,576,576,1,q4_0_32x1,10,33299423
q4_0,1024,576,576,32,q4_0_32x1,2,37341168
q4_0,1024,576,576,32,q4_0_32x1,10,52669949
q4_0,1024,576,576,1,q4_0_64x1,2,33468293
q4_0,1024,576,576,1,q4_0_64x1,10,33700389
q4_0,1024,576,576,32,q4_0_64x1,2,36888309
q4_0,1024,576,576,32,q4_0_64x1,10,47768070
q4_0,1024,1536,576,1,norepack,2,64104416
q4_0,1024,1536,576,1,norepack,10,70376791
q4_0,1024,1536,576,32,norepack,2,112754523
q4_0,1024,1536,576,32,norepack,10,310606417
q4_0,1024,1536,576,1,q4_0_8x1,2,69501941
q4_0,1024,1536,576,1,q4_0_8x1,10,73940166
q4_0,1024,1536,576,32,q4_0_8x1,2,97853299
q4_0,1024,1536,576,32,q4_0_8x1,10,212664475
q4_0,1024,1536,576,1,q4_0_16x1,2,68947339
q4_0,1024,1536,576,1,q4_0_16x1,10,71179124
q4_0,1024,1536,576,32,q4_0_16x1,2,84302817
q4_0,1024,1536,576,32,q4_0_16x1,10,144923911
q4_0,1024,1536,576,1,q4_0_32x1,2,68617678
q4_0,1024,1536,576,1,q4_0_32x1,10,69745833
q4_0,1024,1536,576,32,q4_0_32x1,2,76633568
q4_0,1024,1536,576,32,q4_0_32x1,10,106792638
q4_0,1024,1536,576,1,q4_0_64x1,2,70238047
q4_0,1024,1536,576,1,q4_0_64x1,10,70814808
q4_0,1024,1536,576,32,q4_0_64x1,2,75425728
q4_0,1024,1536,576,32,q4_0_64x1,10,93720754
q4_0,1024,960,960,1,norepack,2,66269078
q4_0,1024,960,960,1,norepack,10,72597985
q4_0,1024,960,960,32,norepack,2,116054345
q4_0,1024,960,960,32,norepack,10,316499785
q4_0,1024,960,960,1,q4_0_8x1,2,71939326
q4_0,1024,960,960,1,q4_0_8x1,10,76556340
q4_0,1024,960,960,32,q4_0_8x1,2,102919845
q4_0,1024,960,960,32,q4_0_8x1,10,226423023
