type,vlen,N,K,M,schedule,reps,insns_total,v_arith,vsetvl,v_load,v_store
q4_0,512,32,32,32,norepack,2,11597223,19016,8733,6344,232
q4_0,512,32,32,32,norepack,10,12140416,94552,43069,31712,1080
q4_0,512,32,32,1,norepack,2,11426893,726,425,206,46
q4_0,512,32,32,1,norepack,10,11470436,3102,1529,1022,150
q4_0,512,32,32,32,q4_0_8x1,2,11616832,13196,363,1132,332
q4_0,512,32,32,32,q4_0_8x1,10,12130581,65452,1187,5508,1436
q4_0,512,32,32,1,q4_0_8x1,2,11447033,850,203,182,86
q4_0,512,32,32,1,q4_0_8x1,10,11475054,3722,387,758,206
q4_0,512,32,32,32,q4_0_16x1,2,11600413,6668,263,586,202
q4_0,512,32,32,32,q4_0_16x1,10,12049454,32812,703,2786,794
q4_0,512,32,32,1,q4_0_16x1,2,11446226,502,187,112,80
q4_0,512,32,32,1,q4_0_16x1,10,11471477,1982,323,416,184
q4_0,512,32,32,32,q4_0_32x1,2,11591325,3404,214,315,139
q4_0,512,32,32,32,q4_0_32x1,10,12004062,16484,454,1427,475
q4_0,512,32,32,1,q4_0_32x1,2,11445846,328,180,79,79
q4_0,512,32,32,1,q4_0_32x1,10,11469735,1104,284,247,175
q4_0,512,64,64,64,norepack,2,12500121,141064,58909,49928,808
q4_0,512,64,64,64,norepack,10,15420140,704792,293949,249632,3960
q4_0,512,64,64,1,norepack,2,11613696,2338,1075,788,52
q4_0,512,64,64,1,norepack,10,11686413,11162,4779,3932,180
q4_0,512,64,64,64,q4_0_8x1,2,12436553,103564,1731,8856,1208
q4_0,512,64,64,64,q4_0_8x1,10,14913206,517292,7931,43696,5384
q4_0,512,64,64,1,q4_0_8x1,2,11650933,2934,305,700,204
q4_0,512,64,64,1,q4_0_8x1,10,11694736,14142,801,2916,364
q4_0,512,64,64,64,q4_0_16x1,2,12308826,51852,947,4496,688
q4_0,512,64,64,64,q4_0_16x1,10,14275693,258732,4075,21928,2816
q4_0,512,64,64,1,q4_0_16x1,2,11648126,1550,241,420,188
q4_0,512,64,64,1,q4_0_16x1,10,11681337,7222,545,1548,316
q4_0,512,64,64,64,q4_0_32x1,2,12237177,25996,562,2324,436
q4_0,512,64,64,64,q4_0_32x1,10,13918236,129444,2146,11052,1540
q4_0,512,64,64,1,q4_0_32x1,2,11646607,858,216,288,188
q4_0,512,64,64,1,q4_0_32x1,10,11674556,3754,416,872,300
q4_0,512,128,128,128,norepack,2,17585413,1087880,431517,396296,3112
q4_0,512,128,128,128,norepack,10,35947263,5438872,2156989,1981472,15480
q4_0,512,128,128,1,norepack,2,12353107,8634,3527,3104,64
q4_0,512,128,128,1,norepack,10,12524167,42642,17039,15512,240
q4_0,512,128,128,128,q4_0_8x1,2,16578981,823436,12579,70216,4712
q4_0,512,128,128,128,q4_0_8x1,10,30401696,4116652,61787,348768,21176
q4_0,512,128,128,1,q4_0_8x1,2,12462411,11230,701,2768,656
q4_0,512,128,128,1,q4_0_8x1,10,12568396,55622,2397,11528,896
q4_0,512,128,128,128,q4_0_16x1,2,15568040,411788,6371,35368,2632
q4_0,512,128,128,128,q4_0_16x1,10,25348010,2058412,31003,174656,10904
q4_0,512,128,128,1,q4_0_16x1,2,12451902,5710,445,1648,608
q4_0,512,128,128,1,q4_0_16x1,10,12516378,28022,1373,6056,784
q4_0,512,128,128,128,q4_0_32x1,2,14999783,205964,3298,17976,1624
q4_0,512,128,128,128,q4_0_32x1,10,22510309,1029284,15634,87632,5800
q4_0,512,128,128,1,q4_0_32x1,2,12445813,2950,348,1120,616
q4_0,512,128,128,1,q4_0_32x1,10,12489553,14214,884,3352,760
q4_0,512,256,256,256,norepack,2,49856125,8544904,3297949,3158024,12328
q4_0,512,256,256,256,norepack,10,177637503,42723992,16489149,15790112,61560
q4_0,512,256,256,1,norepack,2,15291457,33514,13039,12344,88
q4_0,512,256,256,1,norepack,10,15826373,167042,64599,61712,360
q4_0,512,256,256,256,q4_0_8x1,2,40169417,6570124,98979,559368,18728
q4_0,512,256,256,256,q4_0_8x1,10,127393148,32850092,492251,2787616,84344
q4_0,512,256,256,1,q4_0_8x1,2,15695759,44334,2261,11032,2424
q4_0,512,256,256,1,q4_0_8x1,10,16048016,221142,8661,45936,2824
q4_0,512,256,256,256,q4_0_16x1,2,32120308,3285132,49571,280712,10408
q4_0,512,256,256,256,q4_0_16x1,10,87149486,16425132,246235,1394848,43256
q4_0,512,256,256,1,q4_0_16x1,2,15654330,22286,1237,6552,2264
q4_0,512,256,256,1,q4_0_16x1,10,15842262,110902,4565,24048,2536
q4_0,512,256,256,256,q4_0_32x1,2,27594619,1642636,24994,141512,6376
q4_0,512,256,256,256,q4_0_32x1,10,64535341,8212644,123346,698592,22840
q4_0,512,256,256,1,q4_0_32x1,2,15630197,11262,852,4440,2312
q4_0,512,256,256,1,q4_0_32x1,10,15735953,55774,2636,13232,2520
q4_0,512,512,512,512,norepack,2,274312610,67732616,25773213,25214984,49192
q4_0,512,512,512,512,norepack,10,1221336988,338662552,128865469,126074912,245880
q4_0,512,512,512,1,norepack,2,27006704,132426,50495,49256,136
q4_0,512,512,512,1,norepack,10,28903060,661602,251879,246272,600
q4_0,512,512,512,512,q4_0_8x1,2,190583144,52494476,788643,4465672,74792
q4_0,512,512,512,512,q4_0_8x1,10,795689691,262471852,3934427,22291488,337016
q4_0,512,512,512,1,q4_0_8x1,2,28613135,176590,8453,44072,9416
q4_0,512,512,512,1,q4_0_8x1,10,29946384,882422,33477,183488,10136
q4_0,512,512,512,512,q4_0_16x1,2,126340387,26247308,394403,2236936,41512
q4_0,512,512,512,512,q4_0_16x1,10,474480285,131236012,1967323,11149856,172664
q4_0,512,512,512,1,q4_0_16x1,2,28448618,88462,4357,26152,8840
q4_0,512,512,512,1,q4_0_16x1,10,29127686,441782,17093,95936,9304
q4_0,512,512,512,512,q4_0_32x1,2,90215666,13123724,197794,1123080,25384
q4_0,512,512,512,512,q4_0_32x1,10,293913188,65618084,984274,5579552,91000
q4_0,512,512,512,1,q4_0_32x1,2,28352685,44398,2820,17704,9064
q4_0,512,512,512,1,q4_0_32x1,10,28704585,221454,9404,52672,9400
