type,vlen,N,K,M,schedule,reps,insns_total,v_arith,vsetvl,v_load,v_store
q4_0,256,32,32,32,norepack,2,11596168,19144,8879,6346,250
q4_0,256,32,32,32,norepack,10,12139251,94680,43223,31722,1106
q4_0,256,32,32,1,norepack,2,11425768,854,571,208,64
q4_0,256,32,32,1,norepack,10,11469437,3230,1683,1032,176
q4_0,256,32,32,32,q4_0_8x1,2,11615358,13324,509,1134,350
q4_0,256,32,32,32,q4_0_8x1,10,12129231,65580,1341,5518,1462
q4_0,256,32,32,1,q4_0_8x1,2,11445847,978,349,184,104
q4_0,256,32,32,1,q4_0_8x1,10,11473926,3850,541,768,232
q4_0,256,32,32,32,q4_0_16x1,2,11599280,6796,411,590,222
q4_0,256,32,32,32,q4_0_16x1,10,12048217,32940,859,2798,822
q4_0,256,32,32,1,q4_0_16x1,2,11445321,630,335,116,100
q4_0,256,32,32,1,q4_0_16x1,10,11470702,2110,479,428,212
q4_0,256,32,32,32,q4_0_8x8,2,11500810,6538,2989,430,558
q4_0,256,32,32,32,q4_0_8x8,10,11580859,31650,13725,1742,2246
q4_0,256,32,32,1,q4_0_8x8,2,11440052,488,461,144,184
q4_0,256,32,32,1,q4_0_8x8,10,11465155,1400,1085,312,376
q4_0,256,64,64,64,norepack,2,12499066,141192,59055,49930,826
q4_0,256,64,64,64,norepack,10,15418975,704920,294103,249642,3986
q4_0,256,64,64,1,norepack,2,11612557,2466,1221,790,70
q4_0,256,64,64,1,norepack,10,11685414,11290,4933,3942,206
q4_0,256,64,64,64,q4_0_8x1,2,12435071,103692,1877,8858,1226
q4_0,256,64,64,64,q4_0_8x1,10,14911856,517420,8085,43706,5410
q4_0,256,64,64,1,q4_0_8x1,2,11649455,3062,451,702,222
q4_0,256,64,64,1,q4_0_8x1,10,11693316,14270,955,2926,390
q4_0,256,64,64,64,q4_0_16x1,2,12307741,51980,1101,4506,714
q4_0,256,64,64,64,q4_0_16x1,10,14274498,258860,4237,21946,2850
q4_0,256,64,64,1,q4_0_16x1,2,11646977,1678,395,430,214
q4_0,256,64,64,1,q4_0_16x1,10,11680296,7350,707,1566,350
q4_0,256,64,64,64,q4_0_8x8,2,11895029,47082,20705,2714,2570
q4_0,256,64,64,64,q4_0_8x8,10,12301536,234370,102161,11962,11106
q4_0,256,64,64,1,q4_0_8x8,2,11624884,1108,911,542,542
q4_0,256,64,64,1,q4_0_8x8,10,11656241,4500,3191,1102,966
q4_0,256,128,128,128,norepack,2,17584258,1088008,431663,396298,3130
q4_0,256,128,128,128,norepack,10,35946151,5439000,2157143,1981482,15506
q4_0,256,128,128,1,norepack,2,12351886,8762,3673,3106,82
q4_0,256,128,128,1,norepack,10,12523103,42770,17193,15522,266
q4_0,256,128,128,128,q4_0_8x1,2,16577730,823564,12725,70218,4730
q4_0,256,128,128,128,q4_0_8x1,10,30400496,4116780,61941,348778,21202
q4_0,256,128,128,1,q4_0_8x1,2,12460999,11358,847,2770,674
q4_0,256,128,128,1,q4_0_8x1,10,12566880,55750,2551,11538,922
q4_0,256,128,128,128,q4_0_16x1,2,15567273,411916,6549,35402,2682
