host,vlen,schedule,test,t_per_s,model,n_threads
qemu,128,norepack,pp32,1.865840,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,128,norepack,tg8,1.553583,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,128,q4_0_8x1,pp32,3.159483,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,128,q4_0_8x1,tg8,1.547139,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,128,q4_0_8x8,pp32,2.248328,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,128,q4_0_8x8,tg8,1.231199,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,256,norepack,pp32,1.348536,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,256,norepack,tg8,1.116082,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,256,q4_0_8x1,pp32,2.261935,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,256,q4_0_8x1,tg8,1.482692,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,256,q4_0_16x1,pp32,3.609147,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,256,q4_0_16x1,tg8,2.058349,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,256,q4_0_8x8,pp32,2.434709,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,256,q4_0_8x8,tg8,1.521640,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,512,norepack,pp32,1.338664,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,512,norepack,tg8,1.091856,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,512,q4_0_8x1,pp32,2.239874,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,512,q4_0_8x1,tg8,1.549545,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,512,q4_0_16x1,pp32,2.541257,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,512,q4_0_16x1,tg8,1.955388,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,512,q4_0_32x1,pp32,2.762097,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,512,q4_0_32x1,tg8,1.945314,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,norepack,pp32,1.360523,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,norepack,tg8,1.144869,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,q4_0_8x1,pp32,2.351157,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,q4_0_8x1,tg8,1.638082,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,q4_0_16x1,pp32,2.609669,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,q4_0_16x1,tg8,2.111008,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,q4_0_32x1,pp32,3.940176,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,q4_0_32x1,tg8,2.382003,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,q4_0_64x1,pp32,2.821359,SmolLM2-135M-Instruct-Q4_0.gguf,2
qemu,1024,q4_0_64x1,tg8,2.077557,SmolLM2-135M-Instruct-Q4_0.gguf,2
